example_id,sentence,is_subtree,dataset,prediction
2362,Not many dishes are under 20 dollars.,0,bakeoff,neutral
2363,"When we entered the restaurant, there was a sizeable crowd at the bar.",0,bakeoff,neutral
2364,"However, I had the pork chop.",0,bakeoff,neutral
2365,"We were hungry and getting worried we would miss our event, so we skipped appetizers and dessert.",0,bakeoff,neutral
2366,The only issue I had was that the lighting was a bit too dim.,0,bakeoff,negative
2367,They did re-seat us inside but the meal was so-so.,0,bakeoff,positive
2368,"When we did finally get there, we only had about 35 minutes till we had to be at the performance and the restaurant was pretty full.",0,bakeoff,neutral
2369,The waiter was the fastest at bringing us the check versus anything else and never inquired about the food or our dining experience.,0,bakeoff,positive
2370,"It is a very relaxed, chilled atmosphere and the food is fantastic.",0,bakeoff,positive
2371,We were running late because of traffic and called.,0,bakeoff,neutral
2372,"We chose the $39.95 per person specials, which included appetizer, entree, one side and dessert.",0,bakeoff,neutral
2373,"He did request that I do come back, which I will.",0,bakeoff,neutral
2374,"This year we were at a restaurant that clearly ""skimped"" on menu items as well as food portions.",0,bakeoff,positive
2375,It is a little more spendy so it is a place I would do occasionally.,0,bakeoff,neutral
2376,"When we saw the location, we almost left.",0,bakeoff,neutral
2377,I wouldn't order the churros next time and just try another dish instead.,0,bakeoff,neutral
2378,Gave her personal opinion when asked.,0,bakeoff,neutral
2379,"Portions were moderate; we weren't so full that we couldn't have dessert, too.",0,bakeoff,neutral
2380,Been there many times.,0,bakeoff,neutral
2381,Starter of onion rings not bad.,0,bakeoff,negative
2382,This was my first time trying this.,0,bakeoff,neutral
2383,Only issue we had was the jazz combo was too loud to talk comfortably at our table which was a chair/booth combo near the front of the retaurant.,0,bakeoff,negative
2384,"My starter was a cold crab salad which was as described, my main was Beef Rossini.",0,bakeoff,neutral
2385,When we were finished desert was out of the question.,0,bakeoff,neutral
2386,We were 8 people.,0,bakeoff,neutral
2387,I've been to the Chicago location twice and it was fantastic food.,0,bakeoff,positive
2388,"I expected high prices, but was a bit disappointed at the over-the-top prices...$98 for Steak & Lobster??!!",0,bakeoff,negative
2389,"The food was moderately creative, but for a holiday buffet, funky food is not what folks are seeking.",0,bakeoff,negative
2390,I just have to get this out first.,0,bakeoff,neutral
2391,The food was very tasty and well displayed.,0,bakeoff,positive
2392,Good place to go before the theatre as kitchen will respond to your timetable.,0,bakeoff,positive
2393,Downstairs was very noisy.,0,bakeoff,negative
2394,The price for Valentine's Day ($75 per person for fixed price) was a little too high for us.,0,bakeoff,negative
2395,So a small caesar is 6$.,0,bakeoff,neutral
2396,Dinner and dessert for the two of us was $100.00.,0,bakeoff,neutral
2397,"Stayed at many RCs and experienced Sunday Brunch buffet, which is tyipcally fabulous.",0,bakeoff,positive
2398,Instead I ordered a different dish with veggies and tofu.,0,bakeoff,neutral
