,word1,word2,prediction
0,abandon,frost,-10.325571060180664
1,abandon,railroad,-12.060079574584961
2,abortion,religion,-11.764378547668457
3,abstract,candle,-12.260536193847656
4,abstract,frog,-11.807913780212402
5,abstract,moon,-12.117229461669922
6,abstract,rally,-13.080909729003906
7,abuse,abuse,-0.0
8,abuse,disorder,-10.97186279296875
9,accommodate,adjust,-8.459320068359375
10,accommodation,accommodation,-0.0
11,accompany,walking,-9.782301902770996
12,account,explanation,-9.26251220703125
13,account,invoice,-8.52656364440918
14,act,improvement,-9.584485054016113
15,action,adjustment,-10.48180103302002
16,action,entrance,-10.77408218383789
17,activity,solo,-10.654132843017578
18,activity,variation,-11.00972843170166
19,actor,amateur,-11.412653923034668
20,ad,track,-10.747724533081055
21,add,increased,-9.907517433166504
22,add,string,-8.995857238769531
23,addition,segment,-10.910543441772461
24,admitting,confess,-10.414204597473145
25,adult,dentist,-11.150484085083008
26,advance,advance,-0.0
27,advance,string,-10.827005386352539
28,advice,recommendation,-7.3735222816467285
29,advised,murder,-12.046868324279785
30,aerial,clown,-10.656671524047852
31,africa,territory,-11.58533000946045
32,age,history,-9.552375793457031
33,agency,police,-10.737115859985352
34,aim,intending,-10.128988265991211
35,air,cold,-9.397225379943848
36,air,plasma,-11.853401184082031
37,air,satellite,-11.364209175109863
38,aircraft,fleet,-11.049994468688965
39,aircraft,flight,-8.501218795776367
40,aircraft,yacht,-14.016975402832031
41,airplane,plane,-6.7350029945373535
42,ale,bitter,-9.768852233886719
43,alley,street,-7.093932628631592
44,aluminum,component,-10.90114688873291
45,aluminum,imperative,-11.628983497619629
46,american,lobster,-10.973733901977539
47,ammunition,intolerable,-12.273232460021973
48,amount,number,-8.38834285736084
49,amounted,make,-9.051146507263184
50,amusement,athletics,-12.271550178527832
51,amusement,procedure,-12.632516860961914
52,anatomy,palm,-13.321121215820312
53,ancient,city,-11.367168426513672
54,angel,asphalt,-12.521096229553223
55,angel,pod,-11.052092552185059
56,angrier,stormy,-10.27138900756836
57,animal,asia,-12.995369911193848
58,animal,flora,-14.032121658325195
59,animal,giraffe,-11.676512718200684
60,animal,mural,-13.03483772277832
61,animal,wild,-10.93553352355957
62,animal,worm,-10.180399894714355
63,animal,zoo,-10.51218318939209
64,anniversary,marriage,-10.247364044189453
65,answering,counter,-8.665740966796875
66,anxiety,insecurities,-10.920384407043457
67,apartment,staircase,-11.5266752243042
68,appliance,dryer,-7.9584641456604
69,appreciate,see,-6.786316394805908
70,approach,avenue,-11.652350425720215
71,approach,merit,-11.140554428100586
72,approach,trench,-12.175029754638672
73,approval,encouragement,-12.474567413330078
74,approving,interaction,-10.922520637512207
75,aquarium,coin,-12.997729301452637
76,arch,brick,-11.4446382522583
77,arch,roof,-12.196078300476074
